location,total_sqft,bath,price,BHK
Chikka Tirupathi,3500.0,5.0,150.0,4
Whitefield,1118.0,2.0,75.0,2
Thanisandra,1098.0,2.0,68.0,2
Kanakapura,1130.0,2.0,45.2,2
Sarjapur  Road,1145.0,2.0,75.0,2
Kadugodi,950.0,3.0,80.0,3
other,1051.0,2.0,33.0,2
other,600.0,7.0,108.0,7
Marathahalli,1102.0,2.0,53.67,2
Jalahalli,1478.0,2.0,125.0,2
Hebbal,823.0,2.0,50.63,2
Abbigere,880.0,2.0,35.0,2
KR Puram,600.0,5.0,75.0,4
Budigere,1991.0,4.0,100.0,3
TC Palaya,1100.0,3.0,50.0,3
Gubbalala,1745.0,3.0,115.0,3
HAL 2nd Stage,1226.0,3.0,135.0,2
Begur Road,680.0,4.0,68.0,3
other,1100.0,2.0,70.0,2
Banashankari Stage VI,1200.0,4.0,195.0,4
5th Phase JP Nagar,1450.0,2.0,58.0,2
Singasandra,3366.0,4.0,120.0,4
Sahakara Nagar,1150.0,2.0,54.0,2
Banashankari Stage VI,2200.0,4.0,195.0,4
Bommanahalli,1090.0,3.0,44.0,2
Kaggadasapura,1132.0,2.0,42.0,2
Hulimavu,1375.0,2.0,80.0,2
7th Phase JP Nagar,1500.0,5.0,220.0,4
Thanisandra,760.0,1.0,50.3,1
Kaggadasapura,1180.0,2.0,65.0,2
Jigani,918.0,2.0,45.0,2
Rachenahalli,600.0,5.0,50.0,5
Margondanahalli,1200.0,1.0,53.0,2
other,2400.0,7.0,355.0,7
Ardendale,1728.0,3.0,95.0,3
Malleshwaram,2215.0,3.0,275.0,3
BTM 2nd Stage,1200.0,2.0,80.0,2
6th Phase JP Nagar,1280.0,2.0,56.0,2
Hulimavu,800.0,4.0,110.0,4
other,1455.0,2.0,56.0,3
other,440.0,1.0,28.0,1
Kanakpura Road,1500.0,3.0,97.0,3
Whitefield,1800.0,3.0,110.0,3
Mysore Road,1525.0,3.0,96.0,3
Rachenahalli,1204.0,2.0,38.5,2
Old Madras Road,1225.0,2.0,53.55,2
Kalyan nagar,800.0,6.0,98.0,6
Bannerghatta Road,1650.0,3.0,122.0,3
Electronic City,880.0,2.0,18.0,3
Sarjapur  Road,1152.0,4.0,230.0,4
9th Phase JP Nagar,1005.0,2.0,42.0,2
Whitefield,1562.0,3.0,103.0,3
Babusapalaya,810.0,5.0,95.0,6
Ramamurthy Nagar,1200.0,2.0,42.0,2
Kasavanhalli,1555.0,3.0,82.5,3
KR Puram,1550.0,2.0,71.0,2
Whitefield,1190.0,2.0,67.0,2
Chikkalasandra,1070.0,2.0,50.0,2
Jalahalli East,1020.0,2.0,42.48,2
Yelahanka,1610.0,3.0,115.0,3
other,1300.0,2.0,49.0,3
Hebbal,1420.0,2.0,123.0,2
Hebbal,1069.0,3.0,65.4,3
Marathahalli,1900.0,3.0,123.0,3
Old Airport Road,1655.0,2.0,97.65,2
Uttarahalli,1155.0,2.0,40.42,2
Sarjapur  Road,1300.0,2.0,70.0,3
Electronic City,1100.0,2.0,45.0,2
Doddathoguru,1030.0,2.0,42.0,2
Vittasandra,2105.0,2.0,70.2,2
Bhoganhalli,1700.0,3.0,126.0,3
Jakkur,1760.0,3.0,139.0,3
other,1400.0,2.0,67.0,2
other,1200.0,2.0,53.0,2
Bannerghatta Road,912.0,2.0,55.0,2
Whitefield,1102.0,2.0,48.0,2
other,1535.0,3.0,55.0,3
Jigani,918.0,2.0,63.2,2
Begur Road,1500.0,2.0,70.0,3
other,3000.0,3.0,250.0,3
Kasavanhalli,1476.0,3.0,89.0,3
Mysore Road,1200.0,2.0,65.0,2
Vijayanagar,606.0,1.0,34.78,1
other,1100.0,2.0,61.0,2
Garudachar Palya,1295.0,2.0,59.5,3
Neeladri Nagar,527.0,1.0,26.0,1
OMBR Layout,1300.0,2.0,80.0,2
Bommanahalli,680.0,4.0,68.0,3
other,1260.0,1.0,41.0,1
Koramangala,1140.0,2.0,75.2,2
other,1500.0,1.0,37.5,1
Whitefield,2321.0,4.0,128.0,3
Sarjapur  Road,1390.0,2.0,62.0,2
Sarjapur  Road,1725.0,3.0,90.0,3
Hebbal,3067.0,4.0,310.0,4
Hennur Road,1186.0,2.0,63.0,3
Kanakpura Road,1230.0,2.0,85.0,2
other,600.0,1.0,17.0,1
Yeshwanthpur,1313.0,3.0,96.0,3
Ambalipura,1250.0,2.0,66.25,2
Binny Pete,660.0,1.0,54.0,1
Basavangudi,1036.0,2.0,105.0,2
Old Madras Road,1100.0,2.0,70.0,2
Singasandra,525.0,5.0,56.0,4
Electronics City Phase 1,1015.0,2.0,56.0,2
Gottigere,812.0,1.0,26.0,1
other,1360.0,2.0,65.0,3
Nehru Nagar,2167.0,3.0,170.0,3
Raja Rajeshwari Nagar,1200.0,2.0,35.0,2
other,1165.0,2.0,75.0,2
BTM 2nd Stage,1274.0,2.0,70.0,2
Raja Rajeshwari Nagar,1151.0,2.0,39.02,2
Vidyaranyapura,1060.0,6.0,110.0,6
Thubarahalli,1626.0,2.0,120.0,3
Banashankari Stage V,1035.0,2.0,35.77,2
other,1272.0,4.0,75.0,3
other,965.0,2.0,45.0,2
other,1600.0,5.0,140.0,5
Kothannur,1070.0,2.0,42.79,2
Raja Rajeshwari Nagar,1570.0,2.0,65.0,3
other,780.0,2.0,25.0,2
other,1000.0,2.0,65.0,3
9th Phase JP Nagar,1200.0,3.0,188.0,4
5th Phase JP Nagar,1700.0,2.0,100.0,3
Haralur Road,1850.0,3.0,110.0,3
Kereguddadahalli,904.0,2.0,30.0,2
other,1121.0,2.0,43.72,2
7th Phase JP Nagar,1385.0,2.0,58.17,3
Sahakara Nagar,1270.0,2.0,69.85,2
Kanakpura Road,1450.0,3.0,56.0,3
other,2400.0,4.0,325.0,3
Mahadevpura,730.0,1.0,35.0,1
Raja Rajeshwari Nagar,1580.0,3.0,53.56,3
Thanisandra,1111.0,2.0,50.0,2
Kengeri,1125.0,2.0,88.0,4
Varthur,977.0,2.0,36.0,2
other,674.0,1.0,19.9,2
Nagarbhavi,600.0,3.0,83.0,3
Sarjapur,2540.0,4.0,115.0,4
Jakkur,1290.0,2.0,100.0,2
Kumaraswami Layout,600.0,3.0,98.0,3
Abbigere,795.0,2.0,32.54,2
Kanakpura Road,700.0,1.0,35.0,2
other,1463.0,1.0,142.0,2
Vijayanagar,1000.0,3.0,140.0,3
other,1306.0,2.0,58.0,3
other,2401.0,3.0,185.0,3
Bommenahalli,1670.0,3.0,135.0,4
other,1875.0,2.0,235.0,3
Marsur,1200.0,3.0,90.0,3
Dodda Nekkundi,1804.0,3.0,121.0,3
1st Phase JP Nagar,2065.0,4.0,210.0,3
Hoskote,1225.0,3.0,40.0,3
Thanisandra,1185.5,2.0,58.68,2
Bellandur,900.0,2.0,56.0,2
Binny Pete,1350.0,2.0,91.0,2
Kaggalipura,700.0,1.0,36.0,1
Mysore Road,1005.0,2.0,35.175,2
Poorna Pragna Layout,1160.0,2.0,46.39,2
Hennur Road,1680.0,3.0,99.27,3
LB Shastri Nagar,1043.0,2.0,55.0,2
Hoskote,1200.0,4.0,120.0,4
Hebbal,1040.0,2.0,46.0,2
Tindlu,1357.0,2.0,65.0,3
other,1600.0,7.0,104.0,7
other,1225.0,2.0,47.0,2
Yelachenahalli,1130.0,2.0,40.0,2
Basavangudi,2500.0,4.0,150.0,4
Sultan Palaya,1700.0,3.0,120.0,3
Doddathoguru,1549.0,3.0,65.0,3
Yeshwanthpur,1400.0,2.0,100.0,2
Dodda Nekkundi,1080.0,2.0,50.0,2
Ulsoor,1180.0,2.0,100.0,2
other,780.0,7.0,150.0,7
Domlur,1800.0,3.0,150.0,3
other,890.0,1.0,75.0,1
Abbigere,1005.0,2.0,39.59,2
Whitefield,1320.0,2.0,95.0,2
Anandapura,1475.0,2.0,50.0,4
Kudlu Gate,1707.0,2.0,99.745,3
other,1110.0,2.0,51.0,2
other,1300.0,2.0,54.0,2
other,600.0,3.0,86.0,5
Electronic City,1128.0,2.0,65.35,2
Jakkur,1452.19,2.0,100.0,2
other,2400.0,3.0,290.0,3
Banashankari,2600.0,4.0,135.0,3
Sarakki Nagar,2500.0,4.0,325.0,3
Sanjay nagar,630.0,1.0,35.0,2
Hosa Road,1243.0,2.0,48.5,2
other,960.0,2.0,32.0,2
other,1690.0,3.0,100.0,3
Whitefield,735.0,2.0,35.0,2
Banaswadi,1365.0,2.0,73.0,2
Rajaji Nagar,2849.0,5.0,300.0,5
Hebbal,1420.0,2.0,99.39,2
Somasundara Palya,1570.0,3.0,68.0,3
Bisuvanahalli,850.0,1.0,32.0,2
7th Phase JP Nagar,1575.0,2.0,110.0,3
Thigalarapalya,1418.0,2.0,104.0,2
Uttarahalli,1050.0,2.0,42.0,2
Ulsoor,1340.0,3.0,90.0,3
Yelahanka New Town,1610.0,3.0,92.0,3
Electronic City Phase II,1160.0,2.0,33.5,2
Kudlu,1092.0,2.0,44.0,2
Yelahanka,1455.0,3.0,61.5,3
Abbigere,734.0,1.0,19.82,1
other,799.0,2.0,38.0,2
Whitefield,1896.0,3.0,75.0,3
Ardendale,1100.0,2.0,48.0,2
Bellandur,1350.0,2.0,79.0,2
other,1355.0,3.0,61.0,3
other,1350.0,2.0,90.0,2
Kasavanhalli,1493.0,3.0,82.0,3
8th Phase JP Nagar,1098.0,2.0,43.91,2
Banashankari,1900.0,2.0,170.0,3
other,1460.0,3.0,88.0,3
Frazer Town,2350.0,4.0,285.0,3
Horamavu Banaswadi,1600.0,5.0,140.0,5
Varthur,1091.0,2.0,32.0,2
Yelahanka,1180.0,2.0,42.0,2
Kanakpura Road,1366.0,3.0,76.85,2
other,1685.0,3.0,95.0,3
Koramangala,1260.0,2.0,100.0,2
Whitefield,3010.0,3.0,200.0,3
Ramamurthy Nagar,1330.0,4.0,140.0,3
Mallasandra,1200.0,2.0,130.0,2
Whitefield,1346.0,2.0,96.17,2
Chandapura,630.0,1.0,13.86,1
Sarjapur  Road,1476.0,2.0,98.94,3
7th Phase JP Nagar,1850.0,3.0,140.0,3
Frazer Town,2350.0,2.0,423.0,5
Electronic City,755.0,1.0,34.0,2
other,800.0,5.0,98.0,5
Parappana Agrahara,1194.0,2.0,46.0,2
other,800.0,1.0,52.0,1
Rachenahalli,2250.0,3.0,195.0,3
Vijayanagar,1352.0,2.0,68.0,2
Thanisandra,2002.0,3.0,112.0,3
Kaval Byrasandra,1060.0,2.0,45.0,2
Kanakpura Road,1419.59,2.0,59.0,3
Raja Rajeshwari Nagar,1196.0,2.0,51.15,2
Electronic City,1220.0,2.0,35.24,3
Electronics City Phase 1,1595.0,3.0,75.0,3
Banashankari,1260.0,2.0,75.0,2
Hebbal,1100.0,2.0,47.0,2
Frazer Town,1550.0,2.0,140.0,2
ISRO Layout,1180.0,2.0,52.0,2
Akshaya Nagar,1662.0,3.0,85.0,3
Akshaya Nagar,1080.0,4.0,75.0,4
Ambedkar Nagar,1862.0,3.0,119.0,3
Raja Rajeshwari Nagar,1419.0,2.0,48.0,2
Whitefield,1410.0,3.0,43.71,3
Raja Rajeshwari Nagar,1560.0,2.0,62.4,3
other,1100.0,4.0,150.0,5
Thanisandra,1634.0,3.0,78.0,3
Whitefield,1150.0,2.0,44.0,3
other,1100.0,2.0,53.0,2
Yelahanka,1616.0,3.0,65.0,3
Nagavarapalya,1392.0,2.0,99.0,2
Jakkur,1798.0,3.0,120.0,3
Babusapalaya,1675.0,3.0,75.0,3
other,792.0,2.0,70.0,2
other,2000.0,4.0,103.0,5
other,600.0,7.0,89.0,7
Hebbal,1700.0,3.0,124.0,3
Hulimavu,1248.0,2.0,69.0,2
other,1147.0,2.0,54.0,2
Sultan Palaya,1100.0,2.0,40.0,2
Vijayanagar,1527.0,3.0,115.0,3
other,2400.0,5.0,235.0,5
Kanakpura Road,525.0,1.0,25.0,1
Kaggadasapura,1100.0,2.0,58.0,2
Seegehalli,1118.0,2.0,37.5,2
Kanakapura,1476.0,3.0,75.0,3
other,2100.0,3.0,75.0,3
other,1215.0,2.0,46.5,3
Ambalipura,1332.0,2.0,79.0,2
Hennur Road,1350.0,2.0,49.0,2
Kothannur,600.0,4.0,81.0,4
NGR Layout,1105.0,2.0,49.73,2
Padmanabhanagar,1500.0,2.0,200.0,3
Kasavanhalli,1200.0,2.0,50.0,2
Ramagondanahalli,1251.0,2.0,47.4,2
Pai Layout,1400.0,2.0,67.0,3
Rajaji Nagar,1800.0,3.0,260.0,3
Hegde Nagar,1703.0,3.0,113.0,3
NRI Layout,2500.0,5.0,130.0,5
Varthur,1250.0,3.0,71.0,3
Jigani,933.0,2.0,43.0,2
other,461.82,1.0,31.7,1
Brookefield,1262.0,2.0,75.0,2
Yelahanka,915.0,2.0,48.0,2
Panathur,1370.0,2.0,61.5,3
Malleshpalya,1210.0,2.0,55.0,2
Kodihalli,2392.0,4.0,260.0,3
other,1500.0,2.0,85.0,3
other,1065.0,2.0,50.0,2
Ramamurthy Nagar,1515.0,3.0,65.0,3
Sarjapura - Attibele Road,1800.0,4.0,110.0,4
Thanisandra,1445.0,2.0,40.31,3
Uttarahalli,1300.0,2.0,55.0,3
Vijayanagar,989.0,2.0,60.0,2
Jakkur,1300.0,2.0,85.0,2
Chandapura,1185.0,2.0,30.22,3
Battarahalli,1350.0,3.0,110.0,5
Marathahalli,1045.0,2.0,60.0,2
other,1205.0,2.0,42.18,2
other,1260.0,2.0,75.0,2
other,1320.0,5.0,199.0,5
Ulsoor,1500.0,2.0,125.0,3
Bommanahalli,1250.0,2.0,42.5,3
other,1199.0,2.0,50.0,2
other,1222.0,5.0,250.0,6
Lakshminarayana Pura,1149.0,2.0,75.0,2
Sarjapur  Road,2180.0,3.0,170.0,3
TC Palaya,1200.0,7.0,110.0,8
other,1200.0,5.0,195.0,5
Hulimavu,1818.0,3.0,135.0,3
other,1070.0,2.0,33.0,2
Rajaji Nagar,1640.0,3.0,241.0,3
Nagarbhavi,1350.0,2.0,54.6,3
Chandapura,630.0,1.0,27.0,2
Hoodi,1430.0,2.0,113.0,2
Nagavara,2430.0,4.0,180.0,3
other,1500.0,7.0,220.0,6
Sarjapur  Road,1084.0,2.0,55.0,2
Hennur Road,1186.0,2.0,56.0,3
Kengeri,1255.0,2.0,50.0,2
Haralur Road,3400.0,5.0,240.0,4
Hosa Road,1541.0,3.0,69.84,3
Iblur Village,3596.0,5.0,282.0,4
Raja Rajeshwari Nagar,1295.0,2.0,70.0,2
other,2820.0,3.0,285.0,3
7th Phase JP Nagar,1370.0,2.0,54.79,3
Electronic City,1100.0,2.0,40.0,2
Rajaji Nagar,1370.0,2.0,170.0,2
JP Nagar,1200.0,2.0,62.0,2
Gunjur,2000.0,3.0,95.0,4
9th Phase JP Nagar,3500.0,4.0,300.0,4
2nd Stage Nagarbhavi,1200.0,4.0,240.0,5
Kengeri,2400.0,5.0,253.0,4
Sarjapur  Road,1220.0,3.0,62.0,3
other,1950.0,3.0,130.0,3
Somasundara Palya,1178.0,2.0,73.0,2
Dasanapura,1286.0,3.0,61.44,3
Begur Road,1160.0,2.0,42.0,2
Jigani,918.0,2.0,55.0,2
Electronic City,1563.0,3.0,91.84,3
other,1326.0,2.0,62.17,2
Begur Road,1240.0,2.0,39.06,2
Kaggadasapura,1325.0,2.0,50.0,2
Sonnenahalli,1100.0,2.0,44.0,2
Gollarapalya Hosahalli,1605.0,3.0,50.0,3
Somasundara Palya,1260.0,2.0,60.0,2
Hoodi,1553.0,3.0,83.09,3
Whitefield,1280.0,2.0,52.0,2
Hebbal,1550.0,2.0,75.0,3
Arekere,1445.0,2.0,125.0,3
Murugeshpalya,1550.0,3.0,74.0,3
Electronics City Phase 1,1515.0,2.0,80.91,3
Hosa Road,1332.0,2.0,86.12,3
Electronic City,1652.0,3.0,70.0,3
Hegde Nagar,1570.0,3.0,105.0,3
Sector 2 HSR Layout,794.0,1.0,60.0,1
Seegehalli,1200.0,2.0,62.0,3
7th Phase JP Nagar,3600.0,3.0,410.0,4
Hosakerehalli,1200.0,3.0,175.0,3
JP Nagar,1650.0,3.0,220.0,4
other,600.0,2.0,85.0,4
HRBR Layout,2800.0,3.0,250.0,3
Sarjapur  Road,1750.0,3.0,110.0,3
Hebbal,1053.0,2.0,48.0,2
Kadubeesanahalli,1665.0,3.0,70.0,3
Bommasandra,1447.0,3.0,80.0,3
Balagere,1012.0,2.0,75.0,2
Malleshpalya,1900.0,3.0,60.0,3
Narayanapura,1308.0,2.0,92.66,2
Hormavu,1351.0,2.0,53.0,1
Electronic City,1000.0,2.0,22.0,2
other,1200.0,4.0,350.0,4
Gunjur,1140.0,2.0,49.11,2
Jakkur,3181.0,4.0,260.5,4
Uttarahalli,1250.0,2.0,55.0,3
Kanakapura,1290.0,3.0,45.15,3
Garudachar Palya,1320.0,2.0,60.6,3
Akshaya Nagar,1662.0,3.0,85.5,3
Koramangala,1975.0,3.0,210.0,3
Battarahalli,1777.0,3.0,100.0,3
Kadugodi,1900.0,3.0,108.0,3
Anandapura,1576.0,3.0,59.1,3
Sompura,1020.0,2.0,41.0,2
other,2100.0,3.0,170.0,3
Raja Rajeshwari Nagar,648.0,1.0,31.75,1
Neeladri Nagar,1167.0,2.0,38.0,3
other,1000.0,7.0,160.0,7
Hoodi,1220.0,2.0,50.89,2
Kogilu,2350.0,5.0,327.0,3
Vittasandra,1259.0,2.0,67.4,2
Gottigere,2000.0,4.0,82.0,4
8th Phase JP Nagar,1800.0,3.0,80.0,3
other,1991.0,3.0,160.0,3
Bannerghatta,1665.0,3.0,110.0,3
other,1234.0,2.0,61.0,2
Mysore Road,1340.0,2.0,64.31,3
Banashankari,1170.0,2.0,46.79,2
Electronics City Phase 1,995.0,2.0,46.0,2
Old Airport Road,1075.0,2.0,60.0,2
Electronic City,1025.0,2.0,54.5,2
Rachenahalli,2721.0,3.0,113.0,3
Thanisandra,2000.0,3.0,99.0,3
Whitefield,2500.0,4.0,155.0,4
Mallasandra,1325.0,2.0,70.0,2
Kadugodi,1314.0,2.0,68.2,2
Kanakpura Road,2265.0,3.0,136.0,3
Yelahanka,1026.0,2.0,41.0,2
other,1200.0,3.0,66.0,3
other,2220.0,4.0,65.0,3
KR Puram,1192.5,2.0,51.22,2
Sarjapur  Road,1888.0,4.0,95.0,3
JP Nagar,1300.0,2.0,90.87,2
Rajaji Nagar,1216.0,2.0,97.16,2
other,3000.0,4.0,342.0,4
Begur,1559.0,3.0,63.0,3
Harlur,1290.0,2.0,87.0,2
other,2400.0,6.0,245.0,6
Whitefield,905.0,1.0,55.0,1
Sarjapura - Attibele Road,829.0,2.0,22.8,2
Koramangala,1900.0,2.0,200.0,2
Sarjapur  Road,1300.0,3.0,60.0,3
Channasandra,1115.0,2.0,33.45,2
Rajaji Nagar,2409.0,3.0,360.0,3
Ambedkar Nagar,2150.0,4.0,125.0,3
Marathahalli,1305.0,2.0,69.0,3
Kanakpura Road,1252.0,2.0,56.32,2
Hosakerehalli,2400.0,5.0,250.0,5
Whitefield,1200.0,2.0,46.13,2
Electronic City Phase II,545.0,1.0,35.0,2
other,1375.0,2.0,105.0,2
Subramanyapura,1313.0,2.0,66.5,2
Attibele,3640.0,4.0,275.0,4
other,1693.0,3.0,108.0,3
other,1160.0,2.0,41.75,2
other,1200.0,3.0,200.0,3
Subramanyapura,1255.0,2.0,79.0,3
KR Puram,1000.0,4.0,75.0,4
Yelahanka New Town,1700.0,3.0,90.0,3
Indira Nagar,1875.0,3.0,180.0,3
Uttarahalli,1700.0,3.0,88.0,3
Harlur,1749.0,3.0,115.0,3
Dasanapura,1500.0,3.0,65.0,2
other,1175.0,2.0,48.0,2
Akshaya Nagar,1280.0,2.0,60.0,2
Ramagondanahalli,1610.0,2.0,115.0,3
Electronic City,1070.0,2.0,46.0,2
TC Palaya,1200.0,2.0,66.0,2
9th Phase JP Nagar,1127.0,2.0,50.0,2
Indira Nagar,1210.0,2.0,102.0,2
other,600.0,2.0,23.0,2
other,1364.0,2.0,70.0,2
Whitefield,2268.0,3.0,146.0,4
other,1150.0,2.0,77.5,3
other,1146.0,2.0,39.5,2
Magadi Road,1345.0,2.0,55.0,2
other,1110.0,2.0,41.0,2
Kengeri,750.0,2.0,36.0,2
other,1156.0,2.0,49.5,2
Pattandur Agrahara,1247.0,2.0,59.8,2
other,1058.0,2.0,60.0,2
Kaggalipura,950.0,2.0,48.0,2
Vasanthapura,420.0,2.0,35.0,2
other,600.0,2.0,90.0,4
Vijayanagar,1520.0,2.0,103.0,3
other,900.0,1.0,30.0,1
Hennur Road,2350.0,3.0,174.0,3
Thanisandra,1050.0,2.0,46.0,2
other,1672.0,3.0,150.0,3
Laggere,2800.0,5.0,125.0,5
other,1400.0,2.0,65.0,2
8th Phase JP Nagar,2700.0,4.0,130.0,4
Bommasandra,920.0,2.0,37.46,2
Sarjapur  Road,1200.0,3.0,70.0,3
other,1250.0,3.0,139.0,3
Hosakerehalli,1817.0,4.0,153.0,3
Cooke Town,2043.0,6.0,375.0,5
Haralur Road,1464.0,2.0,56.0,2
other,1468.0,3.0,130.0,2
Electronics City Phase 1,1555.0,2.0,82.0,3
Munnekollal,1200.0,4.0,110.0,6
Whitefield,1150.0,2.0,55.0,2
Kadubeesanahalli,970.0,2.0,35.0,2
Banashankari,2500.0,4.0,95.0,4
other,1166.0,2.0,53.0,2
Konanakunte,2779.0,3.0,317.0,3
Electronic City,1350.0,3.0,58.0,3
other,900.0,2.0,46.0,2
other,1190.0,3.0,55.0,3
Kodichikkanahalli,1495.0,2.0,75.0,3
Indira Nagar,1224.0,2.0,105.0,2
Banashankari Stage III,1350.0,2.0,68.0,3
Green Glen Layout,940.0,2.0,56.8,2
Raja Rajeshwari Nagar,1100.0,2.0,55.0,2
Kaikondrahalli,1300.0,2.0,61.0,2
other,1480.0,2.0,145.0,3
Hoodi,1105.0,2.0,46.37,2
Sarjapur  Road,2600.0,3.0,200.0,3
Yelahanka,1517.0,3.0,76.3,3
Horamavu Banaswadi,3800.0,8.0,200.0,6
Jalahalli,1615.0,3.0,89.75,3
other,1500.0,3.0,65.0,3
Mysore Road,1082.0,3.0,50.5,3
Marathahalli,1365.0,2.0,73.0,2
Electronic City,1000.0,2.0,25.0,2
CV Raman Nagar,1392.0,2.0,98.0,2
Kodigehalli,1086.0,2.0,33.66,2
Hennur Road,1586.0,3.0,93.94,3
Hennur,1100.0,2.0,60.0,2
Electronic City Phase II,1065.0,2.0,30.75,2
TC Palaya,1500.0,2.0,120.0,3
7th Phase JP Nagar,1575.0,2.0,120.0,3
Hennur Road,1975.0,3.0,123.0,3
other,820.0,2.0,24.0,2
Gubbalala,1745.0,3.0,110.0,3
Nagarbhavi,1223.0,2.0,60.0,2
Ananth Nagar,1200.0,2.0,65.0,3
Basaveshwara Nagar,1200.0,2.0,90.0,2
Binny Pete,665.0,1.0,46.08,1
Bharathi Nagar,1351.0,2.0,70.0,2
Thanisandra,1588.0,3.0,75.55,3
Amruthahalli,900.0,2.0,60.0,2
other,440.0,3.0,50.0,3
Harlur,3385.0,4.0,260.0,4
Panathur,1370.0,2.0,75.0,3
Whitefield,1500.0,3.0,71.8,3
other,2280.0,3.0,285.0,3
Hoodi,1247.0,2.0,53.0,2
other,2000.0,3.0,200.0,3
Balagere,1020.07,2.0,68.38,2
other,1033.0,2.0,32.0,3
other,1460.0,2.0,73.0,3
Garudachar Palya,1150.0,2.0,52.8,2
Babusapalaya,1141.0,2.0,46.0,2
Yelahanka,2912.5,6.0,125.5,4
Hosa Road,1665.0,2.0,125.0,3
Kanakapura,1295.0,2.0,64.0,2
Haralur Road,1230.0,2.0,78.0,2
other,1080.0,2.0,75.0,3
Kaggalipura,1000.0,2.0,60.0,2
Kaval Byrasandra,2400.0,2.0,50.0,3
Whitefield,630.5,1.0,32.79,1
Rayasandra,1708.0,3.0,75.0,3
Thanisandra,1697.0,3.0,115.0,3
Whitefield,3537.0,5.0,210.0,4
Hosa Road,615.0,1.0,28.29,1
Banashankari,1350.0,2.0,83.0,3
Kanakpura Road,1530.0,2.0,66.4,3
Jalahalli,1083.0,2.0,32.49,2
Gottigere,1460.0,2.0,65.0,3
Babusapalaya,1084.0,2.0,58.0,2
Bommasandra,1035.0,2.0,41.43,2
other,2400.0,2.0,150.0,3
Hosur Road,460.0,1.0,21.0,1
other,950.0,5.0,90.0,5
Whitefield,1285.0,2.0,55.9,2
Sarjapur,1200.0,3.0,78.0,3
other,1070.0,2.0,35.0,2
Hegde Nagar,1801.0,3.0,140.0,3
Whitefield,1697.0,3.0,115.0,3
AECS Layout,1199.0,2.0,65.0,2
Iblur Village,2300.0,3.0,220.0,3
Marathahalli,3800.0,4.0,205.0,4
Jigani,600.0,5.0,50.0,5
other,1125.0,2.0,75.0,2
Anandapura,1200.0,2.0,67.0,2
Subramanyapura,1050.0,2.0,41.0,2
Nagarbhavi,956.0,2.0,49.0,2
Sarjapur,1000.0,2.0,30.0,2
other,1596.0,3.0,95.0,3
other,1200.0,5.0,150.0,6
Kanakpura Road,1296.0,2.0,89.06,2
other,1200.0,7.0,170.0,6
other,1639.0,3.0,123.0,3
Electronic City Phase II,1219.0,2.0,61.25,2
Uttarahalli,1200.0,3.0,50.0,3
Bannerghatta Road,1218.0,2.0,73.0,2
other,920.0,2.0,37.0,2
Yeshwanthpur,2559.0,3.0,141.0,3
2nd Phase Judicial Layout,525.0,1.0,26.0,1
Bannerghatta Road,1427.0,2.0,48.51,3
Kothannur,1270.0,3.0,45.0,3
Ramagondanahalli,920.0,2.0,65.0,2
Dommasandra,2700.0,3.0,68.0,4
other,1740.0,3.0,199.0,3
Ramamurthy Nagar,1355.0,2.0,40.0,3
Lingadheeranahalli,1530.0,2.0,90.0,3
other,1372.0,2.0,90.0,3
Nehru Nagar,2363.0,5.0,120.0,4
Jakkur,1950.0,3.0,131.0,3
other,885.0,2.0,40.0,2
Yelahanka,600.0,2.0,27.0,2
Kumaraswami Layout,1270.0,4.0,128.0,5
Vijayanagar,1380.0,2.0,225.0,2
Kanakpura Road,1339.0,2.0,62.0,2
Whitefield,1130.0,2.0,36.0,2
Uttarahalli,1085.0,2.0,43.0,2
Yeshwanthpur,1430.0,3.0,72.0,3
Bhoganhalli,1451.5,4.0,121.0,4
other,1490.0,2.0,59.6,3
other,1650.0,4.0,99.0,4
Bellandur,1286.0,2.0,57.0,2
other,925.0,2.0,63.0,2
Bellandur,3016.0,4.0,230.0,4
Haralur Road,1000.0,2.0,44.0,2
Whitefield,1215.0,2.0,39.0,2
Lakshminarayana Pura,1336.0,2.0,100.0,2
Yeshwanthpur,673.0,1.0,36.85,1
Anandapura,1200.0,2.0,58.0,2
other,600.0,7.0,63.0,6
Malleshwaram,1600.0,3.0,160.0,3
other,2500.0,3.0,270.0,3
Devanahalli,2400.0,5.0,100.0,5
Sector 2 HSR Layout,1143.0,2.0,65.0,2
Kanakpura Road,1470.0,2.0,61.74,2
other,1584.0,3.0,145.0,4
Marathahalli,1785.0,3.0,94.0,3
Koramangala,2292.0,3.0,286.0,3
Kothanur,1460.0,3.0,71.0,3
Kasturi Nagar,1500.0,2.0,80.0,3
Yelahanka,1200.0,4.0,140.0,5
Sanjay nagar,3300.0,3.0,250.0,5
Chikkalasandra,1230.0,2.0,48.0,2
Yelahanka New Town,650.0,1.0,20.0,1
Benson Town,1480.0,2.0,120.0,2
Thanisandra,1220.0,2.0,43.92,2
other,1570.0,3.0,115.0,3
other,3000.0,3.0,400.0,3
Mallasandra,1665.0,3.0,86.91,3
other,1350.0,3.0,380.0,3
Ramamurthy Nagar,1100.0,2.0,68.0,2
Kathriguppe,1350.0,2.0,87.01,3
Kasavanhalli,1719.0,3.0,116.0,3
Budigere,664.0,1.0,35.0,1
Sonnenahalli,1011.0,2.0,50.53,2
other,2400.0,6.0,130.0,6
